Time, Event
09:00 - 09:30, Introduction and Opening Remarks
09:30 - 10:00, Invited Talk
10:00 - 10:30, Invited Talk
10:30 - 11:00, Coffee and Discussion
11:00 - 11:30, Invited Talk
11:30 - 11:45, Contributed Talk
11:45 - 12:00, Contributed Talk
12:00 - 13:30, Lunch break
13:30 - 14:00, Invited Talk
14:00 - 14:15, Contributed Talk
14:15 - 14:30, Contributed Talk
14:30 - 15:00, Coffee and Discussion
15:00 - 15:30, Invited Talk
15:30 - 15:45, Contributed Talk
15:45 - 16:00, Contributed Talk
16:00 - 17:00, Poster Session
17:00 - 17:30, Invited Talk
17:30 - 17:55, Panel Discussion
17:55 - 18:00, Closing Remarks
